name,lat,lng,scan,color,hover,selectedColor
Tokyo,35.68,139.69,1,#7091FF,able,#003BFF
Osaka,34.69,135.5,1,#7091FF,able,#003BFF
Sapporo,43.06,141.35,1,#7091FF,able,#003BFF
